ID,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,b_rotR,chiral,FCharge
DBB7904,[P+](=O)(OCC(OC(=O)CCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7905,[P+](=O)(OCC(OC(=O)CCCCCCCC=CCC=CCC=CCC)COC(=O)CCCCCCCC=CCCCCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7906,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,9.0072002,206.35001,863.12,0.86666667,59,1,14,38,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.67796612,5,0
DBB7907,[P+](=O)(OCC(OC(=O)CCCCCCCCCC=CCCCCCC)COC(=O)CCCCCCCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.7832003,206.35001,861.104,0.82222223,59,1,14,37,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.66101694,5,0
DBB7908,[P+](=O)(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.7832003,206.35001,861.104,0.82222223,59,1,14,37,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.66101694,5,0
DBB7909,[P+](=O)(OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7910,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCC=CCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.7832003,206.35001,861.104,0.82222223,59,1,14,37,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.66101694,5,0
DBB7911,[P+](=O)(OCC(OC(=O)CCCCCCCCCC=CCCCCCC)COC(=O)CCCCC=CCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7912,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCC=CCC=CCC=CCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.7832003,206.35001,861.104,0.82222223,59,1,14,37,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.66101694,5,0
DBB7913,[P+](=O)(OCC(OC(=O)CCCCCCCCCC=CCCCCCC)COC(=O)CCCCCCCC=CCC=CCC=CCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7914,[P+](=O)(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCC=CCC=CCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7915,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,9.0072002,206.35001,863.12,0.86666667,59,1,14,38,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.67796612,5,0
DBB7916,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCC=CCC=CCC=CCCCCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.7832003,206.35001,861.104,0.82222223,59,1,14,37,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.66101694,5,0
DBB7917,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCC=CCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.7832003,206.35001,861.104,0.82222223,59,1,14,37,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.66101694,5,0
DBB7918,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7919,[P+](=O)(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)(OC1C(O)C(O)C(O)C(O)C1O)[O-],13,5,8.5592003,206.35001,859.08801,0.77777779,59,1,14,36,1,0,0,0,0,2,0,0,0,0,0,0,0,13,0.64406782,5,0
DBB7920,[P+]([OH0])(=O)(OC1C(O)C(O[P+](=O)(OCC(OC(=O)CCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-])C(O)C(O)C1O)[O-],15,5,9.5186996,249.72,945.11499,0.91111112,63,1,18,41,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0.6825397,7,0
DBB7921,[P+]([OH0])(=O)(OC1C(O)C(O[P+](=O)(OCC(OC(=O)CCCCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-])C(O)C(O)C1O)[O-],15,5,9.2946997,249.72,943.099,0.86666667,63,1,18,40,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0.66666669,7,0
DBB7922,[P+]([OH0])(=O)(OC1C(O)C(O[P+](=O)(OCC(OC(=O)CCCC=CCC=CCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-])C(O)C(O)C1O)[O-],15,5,9.0706997,249.72,941.08301,0.82222223,63,1,18,39,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0.65079367,7,0
DBB7923,[P+]([OH0])(=O)(OC1C(O)C(O[P+](=O)(OCC(OC(=O)CCCCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-])C(O)C(O)C1O)[O-],15,5,9.0706997,249.72,941.08301,0.82222223,63,1,18,39,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0.65079367,7,0
DBB7924,[P+]([OH0])(=O)(OC1C(O)C(O[P+](=O)(OCC(OC(=O)CCCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCCCC)[O-])C(O)C(O)C1O)[O-],15,5,8.8466997,249.72,939.06702,0.77777779,63,1,18,38,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0.63492066,7,0
DBB7925,[P+]([OH0])(=O)(OC1C(O)C(O[P+](=O)(OCC(OC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC)[O-])C(O)C(O)C1O)[O-],15,5,8.8466997,249.72,939.06702,0.77777779,63,1,18,38,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0.63492066,7,0
DBB7926,[P+]([OH0])(=O)(OC1C(O)C(O[P+](=O)(OCC(OC(=O)CCCCCCCCCC=CCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC)[O-])C(O)C(O)C1O)[O-],15,5,9.5186996,249.72,945.11499,0.91111112,63,1,18,41,1,0,0,0,0,5,0,0,0,0,0,0,0,16,0.6825397,7,0
